               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.082605,            0.049324,            0.026659,             0.54921,             0.37225,             0.27269,             0.10975,            0.055766,            0.026812,            0.019419,            0.070137,           0.0033181,           0.0033181
                   1,            0.060182,            0.038427,            0.013965,             0.66834,             0.44158,             0.37533,             0.16995,            0.049898,            0.024742,           0.0070485,            0.040071,           0.0065856,           0.0065856
                   2,            0.054742,            0.037042,            0.008558,             0.91166,              0.5237,             0.58279,             0.29384,             0.04113,            0.024303,           0.0055816,           0.0099393,           0.0097871,           0.0097871
                   3,              0.0482,            0.035758,            0.006883,             0.88656,             0.54037,             0.57765,             0.28517,            0.044882,            0.024244,           0.0045603,            0.009703,            0.009703,            0.009703
                   4,            0.043763,            0.035845,           0.0057929,             0.88709,             0.56506,             0.58873,             0.31325,            0.037329,            0.024022,           0.0040628,            0.009703,            0.009703,            0.009703
                   5,            0.041601,            0.035247,           0.0050784,             0.86481,             0.55188,             0.56862,             0.33258,             0.03603,             0.02339,            0.003776,            0.009604,            0.009604,            0.009604
                   6,            0.039847,            0.035315,           0.0044947,              0.9415,             0.58065,             0.62739,             0.37298,            0.033505,            0.022935,           0.0033906,            0.009505,            0.009505,            0.009505
                   7,             0.03861,            0.034608,           0.0041002,             0.94382,             0.58309,             0.62659,             0.36396,            0.033047,            0.022482,           0.0029494,            0.009406,            0.009406,            0.009406
                   8,            0.037561,            0.034338,           0.0038269,             0.94939,             0.57734,             0.62452,             0.36873,            0.033138,            0.022672,           0.0029391,            0.009307,            0.009307,            0.009307
                   9,            0.036581,            0.033527,           0.0040056,             0.94412,             0.58142,             0.62662,             0.38641,            0.031786,            0.022119,           0.0031441,            0.009208,            0.009208,            0.009208
                  10,            0.036098,            0.033846,           0.0039778,             0.94432,             0.58923,             0.62815,             0.38731,            0.032455,            0.022504,           0.0027242,            0.009109,            0.009109,            0.009109
                  11,            0.034549,            0.033004,           0.0034956,             0.94531,              0.5844,             0.62324,             0.38607,             0.03178,            0.022656,           0.0029977,             0.00901,             0.00901,             0.00901
                  12,            0.034858,            0.031985,           0.0034235,              0.9494,             0.59165,             0.63205,              0.4012,            0.030822,            0.022106,           0.0028154,            0.008911,            0.008911,            0.008911
                  13,            0.034375,            0.032698,            0.003456,             0.94962,             0.58468,             0.62831,             0.39451,            0.030836,            0.022372,           0.0028499,            0.008812,            0.008812,            0.008812
                  14,            0.033586,            0.032174,           0.0034649,              0.9493,             0.59697,             0.63686,             0.40331,            0.030146,            0.021837,           0.0023741,            0.008713,            0.008713,            0.008713
                  15,            0.033711,            0.032493,           0.0031348,             0.62051,             0.58837,              0.6324,             0.40014,            0.030219,             0.02185,            0.002538,            0.008614,            0.008614,            0.008614
                  16,            0.033051,            0.031632,           0.0029078,             0.95917,             0.58728,              0.6349,             0.40549,            0.029855,            0.021856,           0.0022893,            0.008515,            0.008515,            0.008515
                  17,            0.032575,            0.031734,            0.002853,             0.62351,             0.58261,             0.63258,             0.40149,            0.029959,            0.022182,           0.0023623,            0.008416,            0.008416,            0.008416
                  18,            0.032557,            0.031224,           0.0027845,             0.62573,               0.593,             0.63622,             0.40116,            0.029807,            0.021573,           0.0022918,            0.008317,            0.008317,            0.008317
